d.cod_familiar_fam,membros_domicilios,bairro,rpa,TP-04,TP-05,TP-06,TP-07,TC-09,TC-10,TC-12,vlr_TP_04,vlr_TP_05,vlr_TP_06,vlr_TP_07,vlr_TC_09,vlr_TC_10,vlr_TC_12,vlr_final_domicilio
5003672217,3,PINA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6183612006,5,RECIFE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6311134446,5,ALTO JOSE DO PINHO,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6438638005,3,BOA VIAGEM,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6475632074,4,ALTO JOSE DO PINHO,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6599514600,3,IMBIRIBEIRA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6601047252,3,VARZEA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6903166823,2,RECIFE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7594582942,3,BRASILIA TEIMOSA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4908705038,1,ESTANCIA,5,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4660249670,1,CORDEIRO,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5070240102,1,CORDEIRO,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6209643914,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6342253757,1,TORRE,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7386664168,1,SANTO ANTONIO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6129094337,1,IPUTINGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7182190230,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5284479394,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4954925908,1,BOA VIAGEM,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6995435419,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6145390301,1,SANCHO,5,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7218575153,1,JIQUIA,5,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
143542508,1,IPUTINGA,4,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
145862828,1,ALTO DO MANDU,3,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
162445830,1,SANTO AMARO,1,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
201773562,1,BOA VIAGEM,6,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
237808439,4,IPUTINGA,4,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
251763820,2,IBURA,6,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
281867372,1,ALTO SANTA TEREZINHA,2,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
281949930,1,NOVA DESCOBERTA,3,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
282066144,2,GUABIRABA,3,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
282078584,3,DOIS UNIDOS,2,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
291753051,1,BOA VIAGEM,6,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
313919232,1,VARZEA,4,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
317905341,3,PASSARINHO,3,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
337462305,1,BONGI,5,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
337464600,2,SANTO AMARO,1,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
337471487,1,IMBIRIBEIRA,6,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
337476527,1,IPUTINGA,4,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
337480982,1,SANTO AMARO,1,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
337482330,2,BONGI,5,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
337487057,2,SAN MARTIN,5,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
337493103,1,BOA VISTA,1,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
337493537,1,BRASILIA TEIMOSA,6,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
337495661,1,ILHA JOANA BEZERRA,1,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
337498849,1,VARZEA,4,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
337499144,1,SAN MARTIN,5,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
337502897,1,BRASILIA TEIMOSA,6,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
337503001,1,SANTO AMARO,1,0,0,1,0,0,0,0,0.0,,854.43,,0.0,0.0,0.0,854.43
